Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,111,ChatGPT,23.1905,0.0395,0.1905,0.2041,0.0,0.1633,0.6994
Politika,111,Gemini,32.4667,0.004,0.0,0.0488,0.0,0.0488,0.6623
Politika,111,Claude,40.5833,0.0,0.0,0.0976,0.0,0.0976,0.6745
Politika,112,Ekstraktivna,22.0909,0.0316,0.1364,0.1818,0.0267,0.1299,0.6814
Politika,112,Apstraktivna,46.2857,0.0119,0.0952,1.0,1.0,1.0,1.0
Politika,112,ChatGPT,54.0,0.0138,0.1111,0.2667,0.0,0.1778,0.6899
Politika,112,Gemini,97.2,0.004,0.0,0.0,0.0,0.0,0.6925
Politika,112,Claude,81.0,0.002,0.0,0.3,0.0526,0.25,0.745
Politika,113,Ekstraktivna,8.8438,0.0764,0.3125,0.1404,0.0,0.1053,0.6285
Politika,113,Apstraktivna,14.15,0.0064,0.0,1.0,1.0,1.0,1.0
Politika,113,ChatGPT,16.6471,0.0255,0.1176,0.0909,0.0,0.0909,0.6624
Politika,113,Gemini,21.7692,0.0064,0.0,0.1111,0.0,0.1111,0.6406
Politika,113,Claude,25.7273,0.0064,0.0,0.1212,0.0,0.0606,0.6804
Politika,114,Ekstraktivna,4.8085,0.1628,0.3404,0.1538,0.0263,0.1026,0.6426
Politika,114,Apstraktivna,10.7619,0.062,0.1905,1.0,1.0,1.0,1.0
Politika,114,ChatGPT,11.8947,0.0388,0.1053,0.3704,0.1538,0.2963,0.7598
Politika,114,Gemini,13.2941,0.0388,0.0,0.1333,0.0,0.1333,0.6427
Politika,114,Claude,15.0667,0.0233,0.0,0.1395,0.0,0.0465,0.6793
Politika,115,Ekstraktivna,21.1026,0.0319,0.3077,0.2466,0.0563,0.1644,0.686
Politika,115,Apstraktivna,29.3929,0.0203,0.1429,1.0,1.0,1.0,1.0
Politika,115,ChatGPT,30.4815,0.0261,0.3704,0.3448,0.1786,0.3103,0.7433
Politika,115,Gemini,63.3077,0.0058,0.1538,0.0,0.0,0.0,0.64
Politika,115,Claude,74.8182,0.0,0.0,0.0476,0.0,0.0476,0.6565
Politika,116,Ekstraktivna,13.3939,0.0528,0.0606,0.1714,0.0,0.1143,0.6706
Politika,116,Apstraktivna,15.7857,0.0226,0.0714,1.0,1.0,1.0,1.0
